Format Version,1.23,Take Name,Fifty_030_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.00.40.836 ,Total Frames in Take,1592,Total Exported Frames,1592,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"FB4D0","FB4D0","FB4D0","FB530","FB530","FB530","FB120","FB120","FB120","FB3A0","FB3A0","FB3A0","FB020","FB020","FB020","FB080","FB080","FB080","FB690","FB690","FB690","FACB0","FACB0","FACB0","FB580","FB580","FB580"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
37,0.370000,-0.080517,0.838947,-0.298816,-0.230144,0.804147,-0.338747,-0.078477,0.799922,-0.260145,-0.281057,0.821987,-0.107082,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097189,0.836699,-0.041378,-0.087462,0.834207,-0.164757
38,0.380000,-0.080628,0.838962,-0.298763,-0.230174,0.804164,-0.338755,-0.078477,0.799922,-0.260145,-0.281118,0.821972,-0.107074,-0.455266,0.704452,-0.115080,-0.364742,0.773756,-0.148539,0.163954,0.866123,-0.221663,-0.097200,0.836710,-0.041352,-0.087462,0.834207,-0.164757
39,0.390000,-0.080636,0.838931,-0.298796,-0.230174,0.804164,-0.338755,-0.078308,0.799852,-0.260159,-0.280977,0.821962,-0.107033,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097249,0.836743,-0.041348,-0.087568,0.834247,-0.164747
40,0.400000,-0.080517,0.838947,-0.298816,-0.230130,0.804141,-0.338754,-0.078477,0.799922,-0.260145,-0.281152,0.821974,-0.107076,-0.455072,0.704307,-0.115092,-0.364693,0.773737,-0.148529,0.163954,0.866123,-0.221663,-0.097249,0.836743,-0.041348,-0.087568,0.834247,-0.164747
41,0.410000,-0.080636,0.838931,-0.298796,-0.230110,0.804138,-0.338757,-0.078260,0.799834,-0.260148,-0.281029,0.821992,-0.107078,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097172,0.836765,-0.041330,-0.087364,0.834286,-0.164752
42,0.420000,-0.080568,0.838937,-0.298773,-0.230241,0.804190,-0.338754,-0.078396,0.799891,-0.260128,-0.281118,0.821972,-0.107074,-0.455072,0.704307,-0.115092,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097222,0.836788,-0.041327,-0.087379,0.834285,-0.164719
43,0.430000,-0.080697,0.838956,-0.298787,-0.230174,0.804164,-0.338755,-0.078477,0.799922,-0.260145,-0.281073,0.822000,-0.107095,-0.455072,0.704307,-0.115092,-0.364693,0.773737,-0.148529,0.163954,0.866123,-0.221663,-0.097287,0.836842,-0.041355,-0.087423,0.834356,-0.164743
44,0.440000,-0.080568,0.838937,-0.298773,-0.230144,0.804147,-0.338747,-0.078452,0.799904,-0.260215,-0.281127,0.821981,-0.107055,-0.455266,0.704452,-0.115080,-0.364742,0.773756,-0.148539,0.163954,0.866123,-0.221663,-0.097207,0.836848,-0.041359,-0.087184,0.834387,-0.164714
45,0.450000,-0.080697,0.838956,-0.298787,-0.230130,0.804141,-0.338754,-0.078477,0.799922,-0.260145,-0.281103,0.821959,-0.107084,-0.455446,0.704595,-0.115119,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097304,0.836899,-0.041334,-0.087184,0.834387,-0.164714
46,0.460000,-0.080628,0.838962,-0.298763,-0.230174,0.804164,-0.338755,-0.078334,0.799867,-0.260127,-0.281173,0.821994,-0.107079,-0.455266,0.704452,-0.115080,-0.364693,0.773737,-0.148529,0.163954,0.866123,-0.221663,-0.097413,0.836883,-0.041372,-0.087263,0.834415,-0.164697
47,0.470000,-0.080568,0.838937,-0.298773,-0.230241,0.804190,-0.338754,-0.078479,0.799919,-0.260182,-0.281121,0.821980,-0.107061,-0.454692,0.704099,-0.115012,-0.364708,0.773740,-0.148547,0.164145,0.866131,-0.221623,-0.097240,0.836931,-0.041361,-0.087263,0.834415,-0.164697
48,0.480000,-0.080697,0.838956,-0.298787,-0.230196,0.804163,-0.338759,-0.078334,0.799867,-0.260127,-0.281116,0.821960,-0.107062,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.164145,0.866131,-0.221623,-0.097085,0.836933,-0.041297,-0.086955,0.834416,-0.164676
49,0.490000,-0.080530,0.838960,-0.298805,-0.230236,0.804184,-0.338724,-0.078452,0.799904,-0.260215,-0.281039,0.821959,-0.107088,-0.455446,0.704595,-0.115119,-0.364708,0.773740,-0.148547,0.164062,0.866153,-0.221639,-0.097103,0.836937,-0.041319,-0.087152,0.834490,-0.164653
50,0.500000,-0.080697,0.838956,-0.298787,-0.230240,0.804186,-0.338759,-0.078477,0.799922,-0.260145,-0.281121,0.821980,-0.107061,-0.455266,0.704452,-0.115080,-0.364742,0.773756,-0.148539,0.164215,0.866150,-0.221591,-0.097058,0.836971,-0.041318,-0.087372,0.834573,-0.164639
51,0.510000,-0.080697,0.838956,-0.298787,-0.230263,0.804202,-0.338765,-0.078452,0.799904,-0.260215,-0.280991,0.822000,-0.107097,-0.455266,0.704452,-0.115080,-0.364742,0.773756,-0.148539,0.164062,0.866153,-0.221639,-0.097038,0.837011,-0.041318,-0.087278,0.834538,-0.164652
52,0.520000,-0.080697,0.838956,-0.298787,-0.230174,0.804164,-0.338755,-0.078196,0.799809,-0.260147,-0.280938,0.821998,-0.107045,-0.455252,0.704450,-0.115132,-0.364708,0.773740,-0.148547,0.164062,0.866153,-0.221639,-0.096947,0.837025,-0.041273,-0.087246,0.834618,-0.164641
53,0.530000,-0.080568,0.838937,-0.298773,-0.230170,0.804159,-0.338725,-0.078452,0.799904,-0.260215,-0.281280,0.822028,-0.107104,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.164252,0.866161,-0.221598,-0.096932,0.837026,-0.041291,-0.087205,0.834640,-0.164615
54,0.540000,-0.080556,0.838928,-0.298756,-0.230241,0.804190,-0.338754,-0.078452,0.799904,-0.260215,-0.281103,0.821959,-0.107084,-0.454887,0.704244,-0.115000,-0.364708,0.773740,-0.148547,0.164145,0.866131,-0.221623,-0.096932,0.837026,-0.041291,-0.087297,0.834675,-0.164602
55,0.550000,-0.080568,0.838937,-0.298773,-0.230130,0.804141,-0.338754,-0.078308,0.799852,-0.260159,-0.281100,0.821963,-0.107099,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.164062,0.866153,-0.221639,-0.096953,0.837041,-0.041308,-0.087232,0.834697,-0.164617
56,0.560000,-0.080568,0.838937,-0.298773,-0.230241,0.804190,-0.338754,-0.078477,0.799922,-0.260145,-0.281024,0.821985,-0.107080,-0.455446,0.704595,-0.115119,-0.364708,0.773740,-0.148547,0.164252,0.866161,-0.221598,-0.097015,0.837069,-0.041313,-0.087232,0.834697,-0.164617
57,0.570000,-0.080568,0.838937,-0.298773,-0.230196,0.804163,-0.338759,-0.078310,0.799849,-0.260196,-0.281046,0.821925,-0.107067,-0.455252,0.704450,-0.115132,-0.364742,0.773756,-0.148539,0.164252,0.866161,-0.221598,-0.096953,0.837041,-0.041308,-0.087171,0.834677,-0.164656
58,0.580000,-0.080640,0.838938,-0.298816,-0.230339,0.804169,-0.338754,-0.078334,0.799867,-0.260127,-0.281150,0.821978,-0.107091,-0.455252,0.704450,-0.115132,-0.364708,0.773740,-0.148547,0.164252,0.866161,-0.221598,-0.096900,0.837079,-0.041328,-0.087232,0.834697,-0.164617
59,0.590000,-0.080633,0.838970,-0.298782,-0.230155,0.804152,-0.338738,-0.078479,0.799919,-0.260182,-0.280992,0.821966,-0.107059,-0.455072,0.704307,-0.115092,-0.364658,0.773721,-0.148536,0.164252,0.866161,-0.221598,-0.096942,0.837109,-0.041313,-0.087232,0.834697,-0.164617
60,0.600000,-0.080697,0.838956,-0.298787,-0.230197,0.804167,-0.338753,-0.078477,0.799922,-0.260145,-0.281198,0.821988,-0.107088,-0.455446,0.704595,-0.115119,-0.364693,0.773737,-0.148529,0.164334,0.866193,-0.221627,-0.096971,0.837055,-0.041276,-0.087232,0.834697,-0.164617
61,0.610000,-0.080697,0.838956,-0.298787,-0.230174,0.804164,-0.338755,-0.078334,0.799867,-0.260127,-0.281081,0.822002,-0.107078,-0.455072,0.704307,-0.115092,-0.364742,0.773756,-0.148539,0.164334,0.866193,-0.221627,-0.096983,0.837060,-0.041275,-0.087232,0.834697,-0.164617
62,0.620000,-0.080636,0.838931,-0.298796,-0.230174,0.804164,-0.338755,-0.078310,0.799849,-0.260196,-0.281173,0.821994,-0.107079,-0.455072,0.704307,-0.115092,-0.364742,0.773756,-0.148539,0.164252,0.866161,-0.221598,-0.097015,0.837069,-0.041313,-0.087232,0.834697,-0.164617
63,0.630000,-0.080628,0.838962,-0.298763,-0.230174,0.804164,-0.338755,-0.078477,0.799922,-0.260145,-0.281078,0.821951,-0.107069,-0.455446,0.704595,-0.115119,-0.364742,0.773756,-0.148539,0.164252,0.866161,-0.221598,-0.096953,0.837041,-0.041308,-0.087232,0.834697,-0.164617
64,0.640000,-0.080636,0.838931,-0.298796,-0.230241,0.804190,-0.338754,-0.078450,0.799907,-0.260177,-0.281248,0.822002,-0.107102,-0.455252,0.704450,-0.115132,-0.364742,0.773756,-0.148539,0.164252,0.866161,-0.221598,-0.096953,0.837041,-0.041308,-0.087180,0.834641,-0.164656
65,0.650000,-0.080572,0.838944,-0.298792,-0.230130,0.804141,-0.338754,-0.078450,0.799907,-0.260177,-0.281100,0.821963,-0.107099,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.164252,0.866161,-0.221598,-0.096953,0.837041,-0.041308,-0.087273,0.834676,-0.164643
66,0.660000,-0.080677,0.838986,-0.298769,-0.230273,0.804147,-0.338749,-0.078617,0.799918,-0.260174,-0.281171,0.821995,-0.107076,-0.454887,0.704276,-0.115093,-0.364708,0.773740,-0.148547,0.164252,0.866161,-0.221598,-0.096838,0.837051,-0.041324,-0.087139,0.834663,-0.164631
