Format Version,1.23,Take Name,H_short_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.48.38.698 ,Total Frames in Take,1591,Total Exported Frames,1591,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10C300","10C300","10C300","10C310","10C310","10C310","10C330","10C330","10C330","10C2C0","10C2C0","10C2C0","10C2E0","10C2E0","10C2E0","10C340","10C340","10C340","10C320","10C320","10C320","10C2B0","10C2B0","10C2B0","10C350","10C350","10C350"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.350000,-0.061002,0.827326,-0.325698,-0.193750,0.750282,-0.365070,-0.043721,0.790669,-0.286660,-0.252736,0.756236,-0.133393,-0.374213,0.586898,-0.139585,-0.314288,0.682619,-0.174296,0.173653,0.848960,-0.237560,-0.097476,0.831951,-0.071836,-0.076271,0.822496,-0.194925
36,0.360000,-0.061129,0.827337,-0.325681,-0.193885,0.750270,-0.365059,-0.043643,0.790637,-0.286664,-0.252714,0.756230,-0.133407,-0.374177,0.586916,-0.139619,-0.314288,0.682619,-0.174296,0.173653,0.848960,-0.237560,-0.097559,0.831940,-0.071865,-0.076231,0.822428,-0.194897
37,0.370000,-0.061002,0.827326,-0.325698,-0.193793,0.750270,-0.365041,-0.043643,0.790637,-0.286664,-0.252736,0.756236,-0.133393,-0.374183,0.586904,-0.139608,-0.314220,0.682646,-0.174256,0.173845,0.848972,-0.237580,-0.097566,0.831937,-0.071846,-0.076346,0.822534,-0.194915
38,0.380000,-0.061029,0.827341,-0.325712,-0.193793,0.750270,-0.365041,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374197,0.586919,-0.139633,-0.314262,0.682617,-0.174272,0.173845,0.848972,-0.237580,-0.097526,0.831933,-0.071883,-0.076351,0.822474,-0.194913
39,0.390000,-0.061129,0.827337,-0.325681,-0.193903,0.750282,-0.365072,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374255,0.586882,-0.139615,-0.314168,0.682604,-0.174263,0.173845,0.848972,-0.237580,-0.097526,0.831933,-0.071883,-0.076351,0.822474,-0.194913
40,0.400000,-0.061129,0.827337,-0.325681,-0.193793,0.750270,-0.365041,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374086,0.586897,-0.139630,-0.314210,0.682627,-0.174257,0.173845,0.848972,-0.237580,-0.097483,0.831947,-0.071817,-0.076189,0.822412,-0.194919
41,0.410000,-0.061002,0.827326,-0.325698,-0.193750,0.750282,-0.365070,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374157,0.586891,-0.139619,-0.314237,0.682601,-0.174283,0.173694,0.849020,-0.237553,-0.097559,0.831940,-0.071865,-0.076423,0.822453,-0.194933
42,0.420000,-0.061108,0.827332,-0.325734,-0.193822,0.750287,-0.365051,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374303,0.586896,-0.139619,-0.314237,0.682601,-0.174283,0.173845,0.848972,-0.237580,-0.097526,0.831933,-0.071883,-0.076351,0.822474,-0.194913
43,0.430000,-0.061029,0.827341,-0.325712,-0.193813,0.750265,-0.365078,-0.043721,0.790669,-0.286660,-0.252736,0.756236,-0.133393,-0.374187,0.586885,-0.139596,-0.314304,0.682640,-0.174266,0.173503,0.849007,-0.237533,-0.097526,0.831933,-0.071883,-0.076351,0.822474,-0.194913
44,0.440000,-0.061101,0.827322,-0.325667,-0.193831,0.750277,-0.365091,-0.043733,0.790712,-0.286636,-0.252736,0.756236,-0.133393,-0.374188,0.586887,-0.139627,-0.314329,0.682641,-0.174290,0.173503,0.849007,-0.237533,-0.097526,0.831933,-0.071883,-0.076351,0.822474,-0.194913
45,0.450000,-0.061129,0.827337,-0.325681,-0.193885,0.750270,-0.365059,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374089,0.586862,-0.139646,-0.314237,0.682601,-0.174283,0.173694,0.849020,-0.237553,-0.097526,0.831933,-0.071883,-0.076423,0.822453,-0.194933
46,0.460000,-0.061207,0.827328,-0.325703,-0.193750,0.750282,-0.365070,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374177,0.586894,-0.139632,-0.314237,0.682601,-0.174283,0.173694,0.849020,-0.237553,-0.097526,0.831933,-0.071883,-0.076351,0.822474,-0.194913
47,0.470000,-0.061101,0.827322,-0.325667,-0.193779,0.750299,-0.365080,-0.043643,0.790637,-0.286664,-0.252736,0.756236,-0.133393,-0.374163,0.586872,-0.139650,-0.314237,0.682601,-0.174283,0.173869,0.849041,-0.237543,-0.097559,0.831940,-0.071865,-0.076475,0.822522,-0.194908
48,0.480000,-0.061129,0.827337,-0.325681,-0.193885,0.750270,-0.365059,-0.043783,0.790697,-0.286649,-0.252736,0.756236,-0.133393,-0.374009,0.586856,-0.139606,-0.314151,0.682608,-0.174273,0.173677,0.849029,-0.237523,-0.097559,0.831940,-0.071865,-0.076475,0.822522,-0.194908
49,0.490000,-0.061129,0.827337,-0.325681,-0.193856,0.750253,-0.365049,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374326,0.586908,-0.139579,-0.314237,0.682601,-0.174283,0.173869,0.849041,-0.237543,-0.097559,0.831940,-0.071865,-0.076601,0.822518,-0.194968
50,0.500000,-0.061129,0.827337,-0.325681,-0.193831,0.750277,-0.365091,-0.043721,0.790669,-0.286660,-0.252736,0.756236,-0.133393,-0.374342,0.586899,-0.139618,-0.314288,0.682619,-0.174296,0.173869,0.849041,-0.237543,-0.097559,0.831940,-0.071865,-0.076475,0.822522,-0.194908
51,0.510000,-0.061101,0.827322,-0.325667,-0.193793,0.750270,-0.365041,-0.043676,0.790683,-0.286626,-0.252736,0.756236,-0.133393,-0.374208,0.586888,-0.139609,-0.314155,0.682613,-0.174278,0.173694,0.849020,-0.237553,-0.097566,0.831937,-0.071846,-0.076351,0.822474,-0.194913
52,0.520000,-0.061002,0.827326,-0.325698,-0.193903,0.750282,-0.365072,-0.043733,0.790712,-0.286636,-0.252736,0.756236,-0.133393,-0.374224,0.586890,-0.139625,-0.314237,0.682601,-0.174283,0.173869,0.849041,-0.237543,-0.097559,0.831940,-0.071865,-0.076475,0.822522,-0.194908
53,0.530000,-0.061029,0.827341,-0.325712,-0.193842,0.750282,-0.365088,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374248,0.586890,-0.139652,-0.314288,0.682619,-0.174296,0.173869,0.849041,-0.237543,-0.097566,0.831937,-0.071846,-0.076351,0.822474,-0.194913
54,0.540000,-0.061129,0.827337,-0.325681,-0.193793,0.750270,-0.365041,-0.043676,0.790683,-0.286626,-0.252736,0.756236,-0.133393,-0.374250,0.586902,-0.139614,-0.314210,0.682599,-0.174258,0.173869,0.849041,-0.237543,-0.097566,0.831937,-0.071846,-0.076475,0.822522,-0.194908
55,0.550000,-0.061192,0.827365,-0.325681,-0.193842,0.750282,-0.365088,-0.043733,0.790712,-0.286636,-0.252736,0.756236,-0.133393,-0.374160,0.586896,-0.139635,-0.314237,0.682601,-0.174283,0.173694,0.849020,-0.237553,-0.097566,0.831937,-0.071846,-0.076475,0.822522,-0.194908
56,0.560000,-0.061029,0.827341,-0.325712,-0.193885,0.750270,-0.365059,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374280,0.586892,-0.139576,-0.314210,0.682599,-0.174258,0.173869,0.849041,-0.237543,-0.097533,0.831929,-0.071864,-0.076351,0.822474,-0.194913
57,0.570000,-0.061101,0.827322,-0.325667,-0.193885,0.750270,-0.365059,-0.043676,0.790683,-0.286626,-0.252736,0.756236,-0.133393,-0.374226,0.586908,-0.139636,-0.314288,0.682619,-0.174296,0.173869,0.849041,-0.237543,-0.097559,0.831940,-0.071865,-0.076403,0.822490,-0.194953
58,0.580000,-0.061101,0.827322,-0.325667,-0.193856,0.750253,-0.365049,-0.043733,0.790712,-0.286636,-0.252736,0.756236,-0.133393,-0.374170,0.586885,-0.139611,-0.314252,0.682622,-0.174252,0.173869,0.849041,-0.237543,-0.097504,0.831944,-0.071830,-0.076351,0.822474,-0.194913
59,0.590000,-0.061101,0.827322,-0.325667,-0.193885,0.750270,-0.365059,-0.043733,0.790712,-0.286636,-0.252714,0.756230,-0.133407,-0.374231,0.586891,-0.139576,-0.314288,0.682619,-0.174296,0.173694,0.849020,-0.237553,-0.097559,0.831940,-0.071865,-0.076101,0.822439,-0.194904
60,0.600000,-0.061129,0.827337,-0.325681,-0.193779,0.750299,-0.365080,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374139,0.586884,-0.139596,-0.314262,0.682617,-0.174272,0.173845,0.848972,-0.237580,-0.097526,0.831933,-0.071883,-0.076304,0.822407,-0.194916
61,0.610000,-0.061029,0.827341,-0.325712,-0.193813,0.750265,-0.365078,-0.043593,0.790653,-0.286651,-0.252736,0.756236,-0.133393,-0.374208,0.586888,-0.139609,-0.314237,0.682601,-0.174283,0.173845,0.848972,-0.237580,-0.097526,0.831933,-0.071883,-0.076231,0.822428,-0.194897
62,0.620000,-0.061129,0.827337,-0.325681,-0.193856,0.750253,-0.365049,-0.043721,0.790669,-0.286660,-0.252736,0.756236,-0.133393,-0.374157,0.586891,-0.139619,-0.314252,0.682622,-0.174252,0.173694,0.849020,-0.237553,-0.097526,0.831933,-0.071883,-0.076304,0.822407,-0.194916
63,0.630000,-0.061180,0.827313,-0.325688,-0.193842,0.750282,-0.365088,-0.043593,0.790653,-0.286651,-0.252736,0.756236,-0.133393,-0.374113,0.586871,-0.139606,-0.314262,0.682617,-0.174272,0.173694,0.849020,-0.237553,-0.097520,0.831929,-0.071880,-0.076189,0.822412,-0.194919
64,0.640000,-0.061101,0.827322,-0.325667,-0.193873,0.750265,-0.365062,-0.043726,0.790667,-0.286640,-0.252736,0.756236,-0.133393,-0.374011,0.586861,-0.139626,-0.314252,0.682622,-0.174252,0.173845,0.848972,-0.237580,-0.097526,0.831933,-0.071883,-0.076231,0.822428,-0.194897
65,0.650000,-0.061101,0.827322,-0.325667,-0.193842,0.750282,-0.365088,-0.043593,0.790653,-0.286651,-0.252736,0.756236,-0.133393,-0.374187,0.586885,-0.139596,-0.314237,0.682601,-0.174283,0.173653,0.848960,-0.237560,-0.097566,0.831937,-0.071846,-0.076304,0.822407,-0.194916
66,0.660000,-0.061101,0.827322,-0.325667,-0.193793,0.750270,-0.365041,-0.043783,0.790697,-0.286649,-0.252736,0.756236,-0.133393,-0.374177,0.586894,-0.139632,-0.314313,0.682629,-0.174283,0.173694,0.849020,-0.237553,-0.097566,0.831937,-0.071846,-0.076231,0.822428,-0.194897
